"Date","Coffee","Milk","Payment","Payment.Date","InOut","Balance"
"2009-10-29",0,0,0,"0",0,0
"2009-12-01",0,0,0,"0",0,0
"2010-01-28",0,0,0,"0",0,0
"2010-03-05",0,0,0,"0",0,0
"2010-04-29",0,0,0,"0",0,0
"2010-08-04",0,0,0,"0",0,0
"2010-09-27",0,0,0,"0",0,0
"2010-11-04",15,15,10,"2010-10-25",4,4
"2010-12-07",41,41,50,"2010-11-25",35.65,39.65
"2011-01-19",41,41,0,"",-16.4,23.25
"2011-02-23",44,44,0,"",-15.4,7.85
"2011-04-28",65,65,60,"2011-04-13",34,41.85
"2011-06-14",65,65,0,"",-26,15.85
"2011-07-15",45,45,0,"",-22.5,-6.65
"2011-08-19",42,42,0,"",-21,-27.65
"2011-09-22",50,50,0,"",-25,-52.65
"2011-12-06",91,91,99.72,"2011-09-22",54.22,1.57000000000001
"2012-01-30",72,72,34.66,"2012-01-29",-1.34,0.230000000000004
"2012-04-13",124,124,84.45,"2012-04-13",22.45,22.68
"2012-06-13",100,100,15,"2012-04-13",-35,-12.32
"2012-09-19",129,129,62.63,"",-1.86999999999999,-14.19
"2012-10-06",0,0,0,"",0,-14.19
"2012-11-28",72,72,0,"0",-36,-50.19
"2013-01-28",62,62,94.08,"",63.08,12.89
"2013-02-08",15,15,0,"",-7.5,5.39000000000001
"2013-04-14",73,73,0,"",-36.5,-31.11
