"Date","Coffee","Milk","Payment","Payment.Date","InOut","Balance"
"2009-10-29",0,0,0,"0",0,0
"2009-12-01",0,0,0,"0",0,0
"2010-01-28",0,0,0,"0",0,0
"2010-03-05",0,0,0,"0",0,0
"2010-04-29",0,0,0,"0",0,0
"2010-08-04",0,0,0,"0",0,0
"2010-09-27",0,0,0,"0",0,0
"2010-11-04",0,0,0,"0",0,0
"2010-12-07",0,0,0,"0",0,0
"2011-01-19",9,9,0,"",-3.6,-3.6
"2011-02-23",24,24,15,"2011-02-14",6.6,3
"2011-04-28",30,30,20,"2011-04-11",8,11
"2011-06-14",18,18,0,"",-7.2,3.8
"2011-07-15",11,11,0,"",-5.5,-1.7
"2011-08-19",5,5,6,"2011-08-19",3.5,1.8
"2011-09-22",7,7,0,"",-3.5,-1.7
"2011-12-06",16,16,40,"2011-10-28",32,30.3
"2012-01-30",1,1,0,"",-0.5,29.8
"2012-04-13",0,0,0,"",0,29.8
"2012-06-13",0,0,0,"",0,29.8
"2012-09-19",0,0,0,"",0,29.8
"2012-10-06",0,0,0,"",0,29.8
"2012-11-28",0,0,0,"0",0,29.8
"2013-01-28",16,0,0,"",-5.6,24.2
"2013-02-08",11,11,0,"",-5.5,18.7
"2013-04-14",37,0,0,"",-12.95,5.75
