"Date","Coffee","Milk","Payment","Payment.Date","InOut","Balance"
"2009-10-29",0,0,0,"0",0,0
"2009-12-01",0,0,0,"0",0,0
"2010-01-28",0,0,0,"0",0,0
"2010-03-05",5,5,0,"",-1.25,-1.25
"2010-04-29",38,38,0,"",-9.5,-10.75
"2010-08-04",4,4,0,"",-1,-11.75
"2010-09-27",2,2,15,"2010-09-01",14.5,2.75
"2010-11-04",2,0,0,"",-0.5,2.25
"2010-12-07",4,0,0,"",-1,1.25
"2011-01-19",3,0,0,"",-0.75,0.5
"2011-02-23",3,0,0,"",-0.75,-0.25
"2011-04-28",7,0,0,"",-1.75,-2
"2011-06-14",0,0,0,"",0,-2
"2011-07-15",0,0,0,"",0,-2
"2011-08-19",1,0,0,"",-0.35,-2.35
"2011-09-22",1,0,0,"",-0.35,-2.7
"2011-12-06",0,0,0,"",0,-2.7
"2012-01-30",1,0,0,"",-0.35,-3.05
"2012-04-13",5,2,10,"2012-03-21",7.95,4.9
"2012-06-13",6,2,0,"",-2.4,2.5
"2012-09-19",8,0,0,"",-2.8,-0.299999999999999
"2012-10-06",3,0,0,"",-1.05,-1.35
"2012-11-28",10,0,0,"0",-3.5,-4.85
"2013-01-28",3,0,0,"",-1.05,-5.9
"2013-02-08",0,0,0,"",0,-5.9
"2013-04-14",1,1,0,"",-0.5,-6.4
