"Date","Coffee","Milk","Payment","Payment.Date","InOut","Balance"
"2009-10-29",0,0,0,"0",0,0
"2009-12-01",0,0,0,"0",0,0
"2010-01-28",0,0,0,"0",0,0
"2010-03-05",0,0,0,"0",0,0
"2010-04-29",0,0,0,"0",0,0
"2010-08-04",0,0,0,"0",0,0
"2010-09-27",0,0,0,"0",0,0
"2010-11-04",0,0,0,"0",0,0
"2010-12-07",0,0,0,"0",0,0
"2011-01-19",2,2,0,"",-0.8,-0.8
"2011-02-23",0,0,0,"",0,-0.8
"2011-04-28",0,0,0,"",0,-0.8
"2011-06-14",0,0,0,"",0,-0.8
"2011-07-15",0,0,0,"",0,-0.8
"2011-08-19",0,0,0,"",0,-0.8
"2011-09-22",0,0,0,"",0,-0.8
"2011-12-06",0,0,0,"",0,-0.8
"2012-01-30",0,0,0,"",0,-0.8
"2012-04-13",0,0,0,"",0,-0.8
"2012-06-13",0,0,0,"",0,-0.8
"2012-09-19",0,0,0,"",0,-0.8
"2012-10-06",7,7,0,"",-3.5,-4.3
"2012-11-28",37,37,20,"0",1.5,-2.8
"2013-01-28",25,25,0,"",-12.5,-15.3
"2013-02-08",0,0,0,"",0,-15.3
"2013-04-14",9,9,0,"",-4.5,-19.8
