"Date","Coffee","Milk","Payment","Payment.Date","InOut","Balance"
"2009-10-29",0,0,0,"0",0,0
"2009-12-01",0,0,0,"0",0,0
"2010-01-28",0,0,0,"0",0,0
"2010-03-05",0,0,0,"0",0,0
"2010-04-29",0,0,0,"0",0,0
"2010-08-04",0,0,0,"0",0,0
"2010-09-27",14,14,10,"2010-09-01",6.5,6.5
"2010-11-04",25,25,20,"2010-11-04",10,16.5
"2010-12-07",17,17,0,"",-5.95,10.55
"2011-01-19",12,12,0,"",-4.8,5.75
"2011-02-23",22,22,20,"2011-01-11",12.3,18.05
"2011-04-28",35,35,0,"",-14,4.05
"2011-06-14",25,25,20,"2011-06-01",10,14.05
"2011-07-15",9,9,0,"",-4.5,9.55
"2011-08-19",11,11,0,"",-5.5,4.05
"2011-09-22",19,19,20,"2011-09-16",10.5,14.55
"2011-12-06",38,38,20,"2011-11-28",1,15.55
"2012-01-30",22,22,0,"",-11,4.55
"2012-04-13",50,50,20,"2012-03-05",-5,-0.449999999999997
"2012-06-13",24,24,0,"",-12,-12.45
"2012-09-19",23,23,30,"2012-07-04",18.5,6.05000000000001
"2012-10-06",12,12,0,"",-6,0.0500000000000096
"2012-11-28",0,0,25,"0",25,25.05
"2013-01-28",29,29,0,"",-14.5,10.55
"2013-02-08",10,10,0,"",-5,5.55000000000001
"2013-04-14",38,38,20,"2013/04/03",1,6.55000000000001
