"Date","Coffee","Milk","Payment","Payment.Date","InOut","Balance"
"2009-10-29",6,6,10,"2009-10-27",8.5,8.5
"2009-12-01",11,11,0,"",-2.75,5.75
"2010-01-28",10,10,0,"",-2.5,3.25
"2010-03-05",15,15,0,"",-3.75,-0.5
"2010-04-29",14,14,5,"2010-04-15",1.5,1
"2010-08-04",11,11,0,"",-2.75,-1.75
"2010-09-27",20,20,3,"2010-09-01",-2,-3.75
"2010-11-04",12,0,7.5,"2010-10-03",4.5,0.75
"2010-12-07",8,0,0,"",-2,-1.25
"2011-01-19",4,0,0,"",-1,-2.25
"2011-02-23",1,0,0,"",-0.25,-2.5
"2011-04-28",10,0,0,"",-2.5,-5
"2011-06-14",13,0,0,"",-3.25,-8.25
"2011-07-15",0,0,0,"",0,-8.25
"2011-08-19",5,0,20,"2011-08-19",18.25,10
"2011-09-22",3,0,0,"",-1.05,8.95
"2011-12-06",0,0,0,"",0,8.95
"2012-01-30",0,0,0,"",0,8.95
"2012-04-13",0,0,0,"",0,8.95
"2012-06-13",0,0,0,"0",0,8.95
"2012-09-19",0,0,0,"0",0,8.95
"2012-10-06",0,0,0,"0",0,8.95
"2012-11-28",0,0,0,"0",0,8.95
"2013-01-28",0,0,0,"0",0,8.95
"2013-02-08",0,0,0,"0",0,8.95
"2013-04-14",0,0,0,"0",0,8.95
