"Date","Coffee","Milk","Payment","Payment.Date","InOut","Balance"
"2009-10-29",7,7,10,"2009-10-20",8.25,8.25
"2009-12-01",12,12,0,"",-3,5.25
"2010-01-28",20,20,0,"",-5,0.25
"2010-03-05",20,20,20,"2010-02-09",15,15.25
"2010-04-29",23,23,0,"",-5.75,9.5
"2010-08-04",6,6,0,"",-1.5,8
"2010-09-27",12,12,0,"",-3,5
"2010-11-04",18,0,0,"",-4.5,0.5
"2010-12-07",3,0,5,"2010-12-03",4.25,4.75
"2011-01-19",6,0,0,"",-1.5,3.25
"2011-02-23",0,0,0,"",0,3.25
"2011-04-28",0,0,0,"",0,3.25
"2011-06-14",0,0,0,"",0,3.25
"2011-07-15",0,0,0,"",0,3.25
"2011-08-19",0,0,0,"",0,3.25
"2011-09-22",0,0,0,"",0,3.25
"2011-12-06",0,0,0,"",0,3.25
"2012-01-30",0,0,0,"",0,3.25
"2012-04-13",0,0,0,"",0,3.25
"2012-06-13",3,0,0,"",-1.05,2.2
"2012-09-19",0,0,0,"0",0,2.2
"2012-10-06",0,0,0,"0",0,2.2
"2012-11-28",0,0,0,"0",0,2.2
"2013-01-28",0,0,0,"0",0,2.2
"2013-02-08",0,0,0,"0",0,2.2
"2013-04-14",0,0,0,"0",0,2.2
