"Date","Coffee","Milk","Payment","Payment.Date","InOut","Balance"
"2009-10-29",3,3,10,"2009-10-10",9.25,9.25
"2009-12-01",4,4,0,"",-1,8.25
"2010-01-28",5,5,0,"",-1.25,7
"2010-03-05",2,2,0,"",-0.5,6.5
"2010-04-29",11,11,0,"",-2.75,3.75
"2010-08-04",9,9,0,"",-2.25,1.5
"2010-09-27",2,2,0,"",-0.5,1
"2010-11-04",7,0,0,"",-1.75,-0.75
"2010-12-07",9,0,10,"2010-11-18",7.75,7
"2011-01-19",11,0,0,"",-2.75,4.25
"2011-02-23",18,0,0,"",-4.5,-0.25
"2011-04-28",40,0,25,"2011-03-07",15,14.75
"2011-06-14",35,0,0,"",-8.75,6
"2011-07-15",10,0,0,"",-3.5,2.5
"2011-08-19",11,0,10,"2011-08-10",6.15,8.65
"2011-09-22",3,0,0,"",-1.05,7.6
"2011-12-06",1,0,0,"",-0.35,7.25
"2012-01-30",4,0,0,"",-1.4,5.85
"2012-04-13",0,0,0,"",0,5.85
"2012-06-13",4,0,0,"",-1.4,4.45
"2012-09-19",1,0,0,"",-0.35,4.1
"2012-10-06",0,0,0,"",0,4.1
"2012-11-28",0,0,0,"0",0,4.1
"2013-01-28",0,0,0,"",0,4.1
"2013-02-08",0,0,0,"",0,4.1
"2013-04-14",0,0,0,"",0,4.1
