"Date","Coffee","Milk","Payment","Payment.Date","InOut","Balance"
"2009-10-29",0,0,0,"0",0,0
"2009-12-01",0,0,0,"0",0,0
"2010-01-28",0,0,0,"0",0,0
"2010-03-05",0,0,0,"0",0,0
"2010-04-29",0,0,0,"0",0,0
"2010-08-04",0,0,0,"0",0,0
"2010-09-27",0,0,0,"0",0,0
"2010-11-04",2,2,0,"",-0.8,-0.8
"2010-12-07",14,14,10,"2010-11-23",5.1,4.3
"2011-01-19",13,13,0,"",-5.2,-0.900000000000001
"2011-02-23",12,12,10,"2011-02-01",5.8,4.9
"2011-04-28",16,16,10,"2011-04-11",3.6,8.5
"2011-06-14",25,25,0,"",-10,-1.5
"2011-07-15",18,18,20,"2011-06-16",11,9.5
"2011-08-19",15,15,6,"2011-08-19",-1.5,8
"2011-09-22",7,7,0,"",-3.5,4.5
"2011-12-06",26,26,10,"2011-11-03",-3,1.5
"2012-01-30",17,17,0,"",-8.5,-7
"2012-04-13",33,38,20,"2012-02-22",2.75,-4.25
"2012-06-13",26,35,20,"2012-05-03",5.65,1.4
"2012-09-19",25,40,20,"2012-06-14",5.25,6.65
"2012-10-06",0,0,0,"",0,6.65
"2012-11-28",8,8,0,"0",-4,2.65
"2013-01-28",13,2,0,"",-4.85,-2.2
"2013-02-08",9,12,0,"",-4.95,-7.15
"2013-04-14",24,0,0,"",-8.4,-15.55
