"Date","Coffee","Milk","Payment","Payment.Date","InOut","Balance"
"2009-10-29",2,2,4,"2009-10-27",3.5,3.5
"2009-12-01",4,4,0,"",-1,2.5
"2010-01-28",5,5,0,"",-1.25,1.25
"2010-03-05",6,6,0,"",-1.5,-0.25
"2010-04-29",12,12,5,"2010-03-16",2,1.75
"2010-08-04",6,6,5,"2010-05-31",3.5,5.25
"2010-09-27",0,0,0,"",0,5.25
"2010-11-04",6,6,0,"",-2.4,2.85
"2010-12-07",6,6,0,"",-2.1,0.75
"2011-01-19",1,1,0,"",-0.4,0.35
"2011-02-23",7,7,0,"",-2.45,-2.1
"2011-04-28",3,3,0,"",-1.2,-3.3
"2011-06-14",0,0,0,"",0,-3.3
"2011-07-15",0,0,0,"",0,-3.3
"2011-08-19",0,0,0,"",0,-3.3
"2011-09-22",1,1,0,"",-0.5,-3.8
"2011-12-06",2,2,0,"",-1,-4.8
"2012-01-30",2,2,0,"",-1,-5.8
"2012-04-13",8,8,0,"",-4,-9.8
"2012-06-13",3,3,10,"2012-06-12",8.5,-1.3
"2012-09-19",42,0,0,"",-14.7,-16
"2012-10-06",7,7,20,"2012-Sep-20",16.5,0.500000000000001
"2012-11-28",31,31,0,"0",-15.5,-15
"2013-01-28",38,38,0,"",-19,-34
"2013-02-08",12,0,30,"2013-01-29",25.8,-8.2
"2013-04-14",34,34,0,"",-17,-25.2
