"Date","Coffee","Milk","Payment","Payment.Date","InOut","Balance"
"2009-10-29",0,0,0,"0",0,0
"2009-12-01",0,0,0,"0",0,0
"2010-01-28",0,0,0,"0",0,0
"2010-03-05",0,0,0,"0",0,0
"2010-04-29",0,0,0,"0",0,0
"2010-08-04",0,0,0,"0",0,0
"2010-09-27",0,0,0,"0",0,0
"2010-11-04",0,0,0,"0",0,0
"2010-12-07",0,0,0,"0",0,0
"2011-01-19",0,0,0,"0",0,0
"2011-02-23",0,0,0,"0",0,0
"2011-04-28",0,0,0,"0",0,0
"2011-06-14",0,0,0,"0",0,0
"2011-07-15",0,0,0,"0",0,0
"2011-08-19",0,0,0,"0",0,0
"2011-09-22",0,0,0,"0",0,0
"2011-12-06",0,0,0,"0",0,0
"2012-01-30",0,0,0,"0",0,0
"2012-04-13",5,0,10,"2012-04-10",8.25,8.25
"2012-06-13",77,0,20,"2012-05-12",-6.95,1.3
"2012-09-19",0,0,0,"0",0,1.3
"2012-10-06",6,0,0,"",-2.1,-0.799999999999999
"2012-11-28",6,0,0,"0",-2.1,-2.9
"2013-01-28",0,0,0,"0",0,-2.9
"2013-02-08",0,0,0,"0",0,-2.9
"2013-04-14",0,0,0,"0",0,-2.9
