"Date","Coffee","Milk","Payment","Payment.Date","InOut","Balance"
"2009-10-29",0,0,0,"0",0,0
"2009-12-01",0,0,0,"0",0,0
"2010-01-28",0,0,0,"0",0,0
"2010-03-05",0,0,0,"0",0,0
"2010-04-29",0,0,0,"0",0,0
"2010-08-04",0,0,0,"0",0,0
"2010-09-27",0,0,0,"0",0,0
"2010-11-04",0,0,0,"0",0,0
"2010-12-07",0,0,0,"0",0,0
"2011-01-19",0,0,5,"2011-01-17",5,5
"2011-02-23",5,5,0,"",-1.75,3.25
"2011-04-28",13,13,0,"",-5.2,-1.95
"2011-06-14",5,5,0,"",-2,-3.95
"2011-07-15",0,0,0,"",0,-3.95
"2011-08-19",0,0,0,"",0,-3.95
"2011-09-22",0,0,4,"2011-09-05",4,0.0499999999999998
"2011-12-06",0,0,0,"",0,0.0499999999999998
"2012-01-30",1,1,0,"",-0.5,-0.45
"2012-04-13",0,0,0,"",0,-0.45
"2012-06-13",0,0,0,"",0,-0.45
"2012-09-19",0,0,0,"",0,-0.45
"2012-10-06",0,0,0,"",0,-0.45
"2012-11-28",25,25,0,"0",-12.5,-12.95
"2013-01-28",0,0,0,"",0,-12.95
"2013-02-08",0,0,0,"",0,-12.95
"2013-04-14",0,0,0,"",0,-12.95
