"Date","Coffee","Milk","Payment","Payment.Date","InOut","Balance"
"2009-10-29",0,0,0,"0",0,0
"2009-12-01",0,0,0,"0",0,0
"2010-01-28",0,0,0,"0",0,0
"2010-03-05",20,20,0,"",-5,-5
"2010-04-29",31,31,0,"",-7.75,-12.75
"2010-08-04",46,46,0,"",-11.5,-24.25
"2010-09-27",14,14,25,"2010-09-01",21.5,-2.75
"2010-11-04",28,28,0,"",-11.2,-13.95
"2010-12-07",44,44,0,"",-15.4,-29.35
"2011-01-19",16,16,40,"2011-01-17",33.6,4.25
"2011-02-23",5,5,0,"",-1.75,2.5
"2011-04-28",12,12,0,"",-4.8,-2.3
"2011-06-14",17,17,20,"2011-06-14",13.2,10.9
"2011-07-15",31,31,0,"",-15.5,-4.6
"2011-08-19",29,29,15,"2011-08-02",0.500000000000002,-4.1
"2011-09-22",20,20,0,"",-10,-14.1
"2011-12-06",45,45,20,"2011-10-28",-2.5,-16.6
"2012-01-30",32,32,0,"",-16,-32.6
"2012-04-13",54,54,50,"2012-03-14",23,-9.59999999999999
"2012-06-13",24,24,0,"",-12,-21.6
"2012-09-19",25,25,0,"",-12.5,-34.1
"2012-10-06",14,14,0,"",-7,-41.1
"2012-11-28",58,58,0,"0",-29,-70.1
"2013-01-28",20,20,75,"2012-11-29",65,-5.09999999999999
"2013-02-08",5,5,0,"",-2.5,-7.59999999999999
"2013-04-14",25,25,0,"",-12.5,-20.1
