"Date","Coffee","Milk","Payment","Payment.Date","InOut","Balance"
"2009-10-29",0,0,0,"0",0,0
"2009-12-01",0,0,0,"0",0,0
"2010-01-28",15,15,20,"2010-01-06",16.25,16.25
"2010-03-05",36,36,0,"",-9,7.25
"2010-04-29",80,80,20,"2010-04-21",0,7.25
"2010-08-04",70,70,20,"2010-08-03",2.5,9.75
"2010-09-27",47,47,0,"",-11.75,-2
"2010-11-04",33,0,0,"",-8.25,-10.25
"2010-12-07",29,0,20,"2010-11-12",12.75,2.5
"2011-01-19",12,0,0,"",-3,-0.5
"2011-02-23",0,0,0,"",0,-0.5
"2011-04-28",0,0,0,"",0,-0.5
"2011-06-14",0,0,0,"",0,-0.5
"2011-07-15",13,0,20,"2011-07-12",15.45,14.95
"2011-08-19",49,0,20,"2011-08-15",2.85,17.8
"2011-09-22",41,0,0,"",-14.35,3.45
"2011-12-06",89,0,20,"2011-11-08",-11.15,-7.7
"2012-01-30",81,0,40,"2012-01-12",11.65,3.95
"2012-04-13",94,0,0,"",-32.9,-28.95
"2012-06-13",74,0,80,"2012-06-06",54.1,25.15
"2012-09-19",115,0,0,"",-40.25,-15.1
"2012-10-06",30,0,0,"",-10.5,-25.6
"2012-11-28",84,0,0,"0",-29.4,-55
"2013-01-28",53,0,100,"2012-12-11",81.45,26.45
"2013-02-08",23,0,0,"",-8.05,18.4
"2013-04-14",88,0,0,"",-30.8,-12.4
