"Date","Coffee","Milk","Payment","Payment.Date","InOut","Balance"
"2009-10-29",0,0,0,"0",0,0
"2009-12-01",0,0,0,"0",0,0
"2010-01-28",0,0,0,"0",0,0
"2010-03-05",0,0,0,"0",0,0
"2010-04-29",0,0,0,"0",0,0
"2010-08-04",0,0,0,"0",0,0
"2010-09-27",3,3,10,"2010-09-01",9.25,9.25
"2010-11-04",3,3,0,"",-1.2,8.05
"2010-12-07",8,8,0,"",-2.8,5.25
"2011-01-19",9,9,0,"",-3.6,1.65
"2011-02-23",6,6,0,"",-2.1,-0.45
"2011-04-28",11,11,0,"",-4.4,-4.85
"2011-06-14",4,4,40,"2011-06-07",38.4,33.55
"2011-07-15",6,6,0,"",-3,30.55
"2011-08-19",4,4,0,"",-2,28.55
"2011-09-22",7,7,0,"",-3.5,25.05
"2011-12-06",8,8,0,"",-4,21.05
"2012-01-30",10,10,0,"",-5,16.05
"2012-04-13",10,21,0,"",-6.65,9.4
"2012-06-13",21,34,0,"",-12.45,-3.05
"2012-09-19",41,60,0,"",-23.35,-26.4
"2012-10-06",7,9,0,"",-3.8,-30.2
"2012-11-28",18,28,60,"0",49.5,19.3
"2013-01-28",24,30,0,"",-12.9,6.4
"2013-02-08",9,9,0,"",-4.5,1.9
"2013-04-14",5,9,0,"",-3.1,-1.2
