"Date","Coffee","Milk","Payment","Payment.Date","InOut","Balance"
"2009-10-29",0,0,0,"0",0,0
"2009-12-01",0,0,0,"0",0,0
"2010-01-28",0,0,0,"0",0,0
"2010-03-05",0,0,0,"0",0,0
"2010-04-29",0,0,0,"0",0,0
"2010-08-04",0,0,0,"0",0,0
"2010-09-27",0,0,0,"0",0,0
"2010-11-04",2,0,0,"",-0.5,-0.5
"2010-12-07",3,0,0,"",-0.75,-1.25
"2011-01-19",0,0,0,"",0,-1.25
"2011-02-23",1,0,0,"",-0.25,-1.5
"2011-04-28",9,0,0,"",-2.25,-3.75
"2011-06-14",2,0,0,"",-0.5,-4.25
"2011-07-15",3,0,0,"",-1.05,-5.3
"2011-08-19",0,0,0,"",0,-5.3
"2011-09-22",0,0,0,"",0,-5.3
"2011-12-06",0,0,0,"",0,-5.3
"2012-01-30",0,0,0,"",0,-5.3
"2012-04-13",0,0,0,"",0,-5.3
"2012-06-13",0,0,0,"0",0,-5.3
"2012-09-19",0,0,0,"0",0,-5.3
"2012-10-06",0,0,0,"0",0,-5.3
"2012-11-28",0,0,0,"0",0,-5.3
"2013-01-28",0,0,0,"0",0,-5.3
"2013-02-08",0,0,0,"0",0,-5.3
"2013-04-14",0,0,0,"0",0,-5.3
