"Date","Coffee","Milk","Payment","Payment.Date","InOut","Balance"
"2009-10-29",0,0,0,"0",0,0
"2009-12-01",21,21,15,"2009-11-03",9.75,9.75
"2010-01-28",32,32,20,"2010-01-18",12,21.75
"2010-03-05",32,32,0,"",-8,13.75
"2010-04-29",54,54,20,"2010-04-20",6.5,20.25
"2010-08-04",64,64,0,"",-16,4.25
"2010-09-27",36,36,10,"2010-09-01",1,5.25
"2010-11-04",49,0,20,"2010-10-14",7.75,13
"2010-12-07",23,0,0,"",-5.75,7.25
"2011-01-19",24,0,0,"",-6,1.25
"2011-02-23",31,0,20,"2011-01-27",12.25,13.5
"2011-04-28",58,0,10,"2011-04-16",-4.5,9
"2011-06-14",44,0,20,"2011-05-31",9,18
"2011-07-15",36,0,0,"",-12.6,5.4
"2011-08-19",23,0,0,"",-8.05,-2.65
"2011-09-22",18,0,20,"2011-09-07",13.7,11.05
"2011-12-06",65,0,20,"2011-11-02",-2.75,8.3
"2012-01-30",32,0,0,"",-11.2,-2.9
"2012-04-13",63,0,15,"2012-02-02",-7.05,-9.95
"2012-06-13",26,0,20,"2012-04-23",10.9,0.950000000000005
"2012-09-19",40,0,20,"2012-06-21",6,6.95
"2012-10-06",14,0,0,"",-4.9,2.05000000000001
"2012-11-28",49,2,0,"0",-17.45,-15.4
"2013-01-28",26,0,0,"",-9.1,-24.5
"2013-02-08",12,0,0,"",-4.2,-28.7
"2013-04-14",31,0,0,"",-10.85,-39.55
