"Date","Coffee","Milk","Payment","Payment.Date","InOut","Balance"
"2009-10-29",0,0,0,"0",0,0
"2009-12-01",0,0,0,"0",0,0
"2010-01-28",3,3,0,"",-0.75,-0.75
"2010-03-05",2,2,0,"",-0.5,-1.25
"2010-04-29",1,1,0,"",-0.25,-1.5
"2010-08-04",16,16,0,"",-4,-5.5
"2010-09-27",31,31,0,"",-7.75,-13.25
"2010-11-04",32,32,30,"2010-09-30",17.2,3.95
"2010-12-07",29,29,0,"",-10.15,-6.2
"2011-01-19",24,24,5,"2011-01-19",-4.6,-10.8
"2011-02-23",16,16,42,"2011-01-26",36.4,25.6
"2011-04-28",0,0,2.5,"2011-04-18",2.5,28.1
"2011-06-14",46,46,0,"",-18.4,9.7
"2011-07-15",15,15,0,"",-7.5,2.2
"2011-08-19",9,9,0,"",-4.5,-2.3
"2011-09-22",2,2,0,"",-1,-3.3
"2011-12-06",11,11,40,"2011-10-17",34.5,31.2
"2012-01-30",19,19,0,"",-9.5,21.7
"2012-04-13",35,35,0,"",-17.5,4.2
"2012-06-13",0,0,0,"",0,4.2
"2012-09-19",1,1,0,"",-0.5,3.7
"2012-10-06",4,4,0,"",-2,1.7
"2012-11-28",25,25,20,"0",7.5,9.2
"2013-01-28",32,32,0,"",-16,-6.8
"2013-02-08",7,7,0,"",-3.5,-10.3
"2013-04-14",30,30,20,"2013/06/03",5,-5.3
