"Date","Coffee","Milk","Payment","Payment.Date","InOut","Balance"
"2009-10-29",0,0,0,"0",0,0
"2009-12-01",0,0,0,"0",0,0
"2010-01-28",0,0,0,"0",0,0
"2010-03-05",0,0,0,"0",0,0
"2010-04-29",0,0,0,"0",0,0
"2010-08-04",6,6,0,"",-1.5,-1.5
"2010-09-27",17,17,0,"",-4.25,-5.75
"2010-11-04",15,15,0,"",-6,-11.75
"2010-12-07",2,2,0,"",-0.7,-12.45
"2011-01-19",15,15,0,"",-6,-18.45
"2011-02-23",7,7,30,"2011-01-10",27.55,9.1
"2011-04-28",9,9,0,"",-3.6,5.5
"2011-06-14",4,4,0,"",-1.6,3.9
"2011-07-15",0,0,0,"",0,3.9
"2011-08-19",0,0,0,"",0,3.9
"2011-09-22",0,0,0,"",0,3.9
"2011-12-06",0,0,0,"",0,3.9
"2012-01-30",0,0,0,"",0,3.9
"2012-04-13",0,0,0,"",0,3.9
"2012-06-13",0,0,0,"0",0,3.9
"2012-09-19",0,0,0,"0",0,3.9
"2012-10-06",0,0,0,"0",0,3.9
"2012-11-28",0,0,0,"0",0,3.9
"2013-01-28",0,0,0,"0",0,3.9
"2013-02-08",0,0,0,"0",0,3.9
"2013-04-14",0,0,0,"0",0,3.9
