"Date","Coffee","Milk","Payment","Payment.Date","InOut","Balance"
"2009-10-29",0,0,0,"0",0,0
"2009-12-01",0,0,0,"0",0,0
"2010-01-28",0,0,0,"0",0,0
"2010-03-05",0,0,0,"0",0,0
"2010-04-29",0,0,0,"0",0,0
"2010-08-04",0,0,0,"0",0,0
"2010-09-27",0,0,0,"0",0,0
"2010-11-04",0,0,0,"0",0,0
"2010-12-07",0,0,0,"0",0,0
"2011-01-19",0,0,0,"0",0,0
"2011-02-23",0,0,0,"0",0,0
"2011-04-28",0,0,0,"0",0,0
"2011-06-14",0,0,0,"0",0,0
"2011-07-15",0,0,0,"0",0,0
"2011-08-19",0,0,0,"0",0,0
"2011-09-22",0,0,0,"0",0,0
"2011-12-06",0,0,0,"0",0,0
"2012-01-30",0,0,0,"0",0,0
"2012-04-13",19,21,15,"2012-03-06",5.2,5.2
"2012-06-13",4,5,0,"",-2.15,3.05
"2012-09-19",12,25,20,"2012-Sep-19",12.05,15.1
"2012-10-06",0,0,0,"",0,15.1
"2012-11-28",6,6,0,"0",-3,12.1
"2013-01-28",6,7,0,"",-3.15,8.95
"2013-02-08",3,4,0,"",-1.65,7.3
"2013-04-14",11,12,0,"",-5.65,1.65
