"Date","Coffee","Milk","Payment","Payment.Date","InOut","Balance"
"2009-10-29",0,0,0,"0",0,0
"2009-12-01",0,0,0,"0",0,0
"2010-01-28",17,17,0,"",-4.25,-4.25
"2010-03-05",17,17,0,"",-4.25,-8.5
"2010-04-29",51,51,10,"2010-03-08",-2.75,-11.25
"2010-08-04",41,41,20,"2010-05-10",9.75,-1.5
"2010-09-27",37,37,0,"",-9.25,-10.75
"2010-11-04",32,0,20,"2010-10-04",12,1.25
"2010-12-07",15,0,0,"",-3.75,-2.5
"2011-01-19",32,0,20,"2010-12-14",12,9.5
"2011-02-23",26,0,0,"",-6.5,3
"2011-04-28",44,0,0,"",-11,-8
"2011-06-14",28,0,20,"2011-04-18",13,5
"2011-07-15",15,0,0,"",-5.25,-0.25
"2011-08-19",11,0,5,"2011-07-28",1.15,0.9
"2011-09-22",0,0,0,"",0,0.9
"2011-12-06",0,0,0,"",0,0.9
"2012-01-30",0,0,0,"",0,0.9
"2012-04-13",0,0,0,"",0,0.9
"2012-06-13",0,0,0,"0",0,0.9
"2012-09-19",0,0,0,"0",0,0.9
"2012-10-06",0,0,0,"0",0,0.9
"2012-11-28",0,0,0,"0",0,0.9
"2013-01-28",0,0,0,"0",0,0.9
"2013-02-08",0,0,0,"0",0,0.9
"2013-04-14",0,0,0,"0",0,0.9
