"Date","Coffee","Milk","Payment","Payment.Date","InOut","Balance"
"2009-10-29",0,0,0,"0",0,0
"2009-12-01",0,0,0,"0",0,0
"2010-01-28",0,0,0,"0",0,0
"2010-03-05",0,0,0,"0",0,0
"2010-04-29",0,0,0,"0",0,0
"2010-08-04",0,0,0,"0",0,0
"2010-09-27",0,0,0,"0",0,0
"2010-11-04",0,0,0,"0",0,0
"2010-12-07",0,0,0,"0",0,0
"2011-01-19",0,0,0,"0",0,0
"2011-02-23",0,0,0,"0",0,0
"2011-04-28",0,0,0,"0",0,0
"2011-06-14",0,0,0,"0",0,0
"2011-07-15",0,0,0,"0",0,0
"2011-08-19",1,0,0,"",-0.35,-0.35
"2011-09-22",3,0,0,"",-1.05,-1.4
"2011-12-06",5,0,0,"",-1.75,-3.15
"2012-01-30",1,0,0,"",-0.35,-3.5
"2012-04-13",2,1,0,"",-0.85,-4.35
"2012-06-13",2,0,0,"",-0.7,-5.05
"2012-09-19",23,31,0,"",-12.7,-17.75
"2012-10-06",0,0,0,"",0,-17.75
"2012-11-28",2,0,20,"0",19.3,1.55
"2013-01-28",0,0,0,"",0,1.55
"2013-02-08",0,0,0,"",0,1.55
"2013-04-14",0,0,0,"",0,1.55
