"Date","Coffee","Milk","Payment","Payment.Date","InOut","Balance"
"2009-10-29",0,0,0,"0",0,0
"2009-12-01",0,0,0,"0",0,0
"2010-01-28",0,0,0,"0",0,0
"2010-03-05",0,0,0,"0",0,0
"2010-04-29",6,6,5,"2010-04-01",3.5,3.5
"2010-08-04",19,19,0,"",-4.75,-1.25
"2010-09-27",11,11,0,"",-2.75,-4
"2010-11-04",7,0,10,"2010-09-30",8.25,4.25
"2010-12-07",2,2,0,"",-0.7,3.55
"2011-01-19",2,2,0,"",-0.8,2.75
"2011-02-23",1,1,0,"",-0.35,2.4
"2011-04-28",0,0,0,"",0,2.4
"2011-06-14",0,0,0,"",0,2.4
"2011-07-15",0,0,0,"",0,2.4
"2011-08-19",0,0,0,"",0,2.4
"2011-09-22",0,0,0,"",0,2.4
"2011-12-06",0,0,0,"",0,2.4
"2012-01-30",0,0,0,"",0,2.4
"2012-04-13",0,0,0,"",0,2.4
"2012-06-13",0,0,0,"0",0,2.4
"2012-09-19",0,0,0,"0",0,2.4
"2012-10-06",0,0,0,"0",0,2.4
"2012-11-28",0,0,0,"0",0,2.4
"2013-01-28",0,0,0,"0",0,2.4
"2013-02-08",0,0,0,"0",0,2.4
"2013-04-14",0,0,0,"0",0,2.4
