"Date","Coffee","Milk","Payment","Payment.Date","InOut","Balance"
"2009-10-29",0,0,0,"0",0,0
"2009-12-01",0,0,0,"0",0,0
"2010-01-28",0,0,0,"0",0,0
"2010-03-05",0,0,0,"0",0,0
"2010-04-29",0,0,0,"0",0,0
"2010-08-04",0,0,0,"0",0,0
"2010-09-27",0,0,0,"0",0,0
"2010-11-04",0,0,0,"0",0,0
"2010-12-07",0,0,0,"0",0,0
"2011-01-19",0,0,0,"0",0,0
"2011-02-23",0,0,0,"0",0,0
"2011-04-28",0,0,0,"0",0,0
"2011-06-14",0,0,0,"0",0,0
"2011-07-15",0,0,0,"0",0,0
"2011-08-19",0,0,0,"0",0,0
"2011-09-22",20,0,10,"2011-09-06",3,3
"2011-12-06",58,0,20,"2011-11-08",-0.299999999999997,2.7
"2012-01-30",37,0,0,"",-12.95,-10.25
"2012-04-13",55,0,40,"2012-01-31",20.75,10.5
"2012-06-13",44,0,0,"",-15.4,-4.9
"2012-09-19",51,0,40,"2012-06-14",22.15,17.25
"2012-10-06",10,0,20,"2012-Sep-20",16.5,33.75
"2012-11-28",18,0,0,"0",-6.3,27.45
"2013-01-28",14,0,0,"",-4.9,22.55
"2013-02-08",9,0,0,"",-3.15,19.4
"2013-04-14",40,0,0,"",-14,5.40000000000001
