"Date","Coffee","Milk","Payment","Payment.Date","InOut","Balance"
"2009-10-29",0,0,0,"0",0,0
"2009-12-01",16,16,0,"",-4,-4
"2010-01-28",12,12,0,"",-3,-7
"2010-03-05",11,11,10,"2010-02-02",7.25,0.25
"2010-04-29",30,30,10,"2010-03-20",2.5,2.75
"2010-08-04",34,34,0,"",-8.5,-5.75
"2010-09-27",22,22,0,"",-5.5,-11.25
"2010-11-04",39,0,20,"2010-09-30",10.25,-1
"2010-12-07",27,0,0,"",-6.75,-7.75
"2011-01-19",32,0,0,"",-8,-15.75
"2011-02-23",23,0,20,"2011-01-20",14.25,-1.5
"2011-04-28",36,0,0,"",-9,-10.5
"2011-06-14",7,0,0,"",-1.75,-12.25
"2011-07-15",15,0,0,"",-5.25,-17.5
"2011-08-19",12,0,40,"2011-07-21",35.8,18.3
"2011-09-22",22,0,0,"",-7.7,10.6
"2011-12-06",42,0,0,"",-14.7,-4.1
"2012-01-30",16,0,0,"",-5.6,-9.7
"2012-04-13",29,0,20,"2012-02-22",9.85,0.15
"2012-06-13",7,0,10.45,"2012-06-12",8,8.15
"2012-09-19",12,0,0,"",-4.2,3.95
"2012-10-06",16,0,0,"",-5.6,-1.65
"2012-11-28",79,0,0,"0",-27.65,-29.3
"2013-01-28",31,0,0,"",-10.85,-40.15
"2013-02-08",11,0,80,"2013-02-05",76.15,36
"2013-04-14",38,0,0,"",-13.3,22.7
