"Date","Coffee","Milk","Payment","Payment.Date","InOut","Balance"
"2009-10-29",3,3,0,"",-0.75,-0.75
"2009-12-01",0,0,0,"",0,-0.75
"2010-01-28",0,0,0,"",0,-0.75
"2010-03-05",1,1,4,"2010-01-29",3.75,3
"2010-04-29",1,1,0,"",-0.25,2.75
"2010-08-04",0,0,0,"",0,2.75
"2010-09-27",0,0,0,"",0,2.75
"2010-11-04",5,5,0,"",-2,0.75
"2010-12-07",0,0,0,"",0,0.75
"2011-01-19",0,0,0,"",0,0.75
"2011-02-23",0,0,0,"",0,0.75
"2011-04-28",0,0,0,"",0,0.75
"2011-06-14",0,0,0,"",0,0.75
"2011-07-15",0,0,0,"",0,0.75
"2011-08-19",0,0,0,"",0,0.75
"2011-09-22",5,5,0,"",-2.5,-1.75
"2011-12-06",3,3,5,"2011-11-16",3.5,1.75
"2012-01-30",2,2,0,"",-1,0.75
"2012-04-13",20,20,10,"2012-02-02",0,0.75
"2012-06-13",0,1,0,"",-0.15,0.6
"2012-09-19",0,4,0,"",-0.6,2.77555756156289e-17
"2012-10-06",0,0,0,"",0,2.77555756156289e-17
"2012-11-28",0,0,0,"0",0,2.77555756156289e-17
"2013-01-28",0,0,0,"0",0,2.77555756156289e-17
"2013-02-08",0,0,0,"0",0,2.77555756156289e-17
"2013-04-14",0,0,0,"0",0,2.77555756156289e-17
