"Date","Coffee","Milk","Payment","Payment.Date","InOut","Balance"
"2009-10-29",0,0,0,"0",0,0
"2009-12-01",0,0,0,"0",0,0
"2010-01-28",0,0,0,"0",0,0
"2010-03-05",0,0,0,"0",0,0
"2010-04-29",0,0,0,"0",0,0
"2010-08-04",0,0,0,"0",0,0
"2010-09-27",0,0,0,"0",0,0
"2010-11-04",0,0,0,"0",0,0
"2010-12-07",0,0,0,"0",0,0
"2011-01-19",0,0,0,"0",0,0
"2011-02-23",0,0,0,"0",0,0
"2011-04-28",0,0,0,"0",0,0
"2011-06-14",0,0,0,"0",0,0
"2011-07-15",0,0,0,"0",0,0
"2011-08-19",0,0,0,"0",0,0
"2011-09-22",0,0,0,"0",0,0
"2011-12-06",0,0,0,"0",0,0
"2012-01-30",26,26,20,"2011-12-19",7,7
"2012-04-13",19,33,20,"2012-03-07",8.4,15.4
"2012-06-13",19,34,0,"",-11.75,3.65
"2012-09-19",25,47,20,"",4.2,7.85
"2012-10-06",14,26,0,"",-8.8,-0.949999999999997
"2012-11-28",50,100,0,"0",-32.5,-33.45
"2013-01-28",27,54,80,"2012-11-29",62.45,29
"2013-02-08",10,18,0,"",-6.2,22.8
"2013-04-14",18,18,0,"",-9,13.8
