"","data_date","ID","Payment","Payment.Date"
"542","2010-11-04",141,0.25,"2010-09-30"
"544","2010-11-04",147,20,"2010-09-30"
"546","2010-11-04",159,20,"2010-11-16"
"547","2010-11-04",161,20,"2010-09-30"
"550","2010-11-04",164,5,"2010-09-30"
"551","2010-11-04",166,3,"2010-09-30"
"555","2010-11-04",173,1,"2010-09-30"
"556","2010-11-04",177,10,"2010-09-30"
"564","2010-11-04",191,7.5,"2010-10-03"
"567","2010-11-04",198,20,"2010-11-04"
"568","2010-11-04",199,20,"2010-10-14"
"570","2010-11-04",202,20,"2010-09-30"
"577","2010-11-04",219,20,"2010-11-04"
"579","2010-11-04",221,10,"2010-10-25"
"582","2010-11-04",228,6,"2010-09-30"
"584","2010-11-04",231,10,"2010-10-18"
"586","2010-11-04",238,5,"2010-09-30"
"587","2010-11-04",240,20,"2010-11-01"
"588","2010-11-04",242,20,"2010-10-04"
"618","2010-12-07",55,20,"2010-11-12"
"625","2010-12-07",75,35,"2010-11-08"
"629","2010-12-07",81,5,"2010-12-03"
"637","2010-12-07",99,20,"2010-11-23"
"645","2010-12-07",117,10,"2010-11-18"
"659","2010-12-07",142,10,"2010-11-23"
"666","2010-12-07",164,5,"2010-11-08"
"670","2010-12-07",172,20,"2010-11-17"
"683","2010-12-07",198,20,"2010-12-06"
"696","2010-12-07",221,50,"2010-11-25"
"699","2010-12-07",227,3,"2010-11-10"
"702","2010-12-07",231,10,"2010-11-24"
"710","2011-01-19",1,6.8,"2011-01-19"
"719","2011-01-19",17,20,"2011-01-19"
"720","2011-01-19",18,20,"2010-12-10"
"722","2011-01-19",28,20,"2011-01-17"
"725","2011-01-19",33,5,"2011-01-19"
"736","2011-01-19",51,20,"2011-01-17"
"753","2011-01-19",89,40,"2011-01-17"
"754","2011-01-19",90,20,"2011-01-17"
"760","2011-01-19",102,0.25,"2011-01-19"
"761","2011-01-19",105,-6.8,"2011-01-19"
"774","2011-01-19",129,5,"2011-01-17"
"779","2011-01-19",137,40,"2011-01-17"
"782","2011-01-19",147,20,"2010-12-10"
"800","2011-01-19",184,20,"2011-01-17"
"814","2011-01-19",206,13.75,"2011-01-17"
"823","2011-01-19",222,5.75,"2010-12-15"
"824","2011-01-19",224,5,"2011-01-17"
"830","2011-01-19",231,15,"2011-01-17"
"832","2011-01-19",237,20,"2011-01-17"
"833","2011-01-19",238,20,"2011-01-17"
"834","2011-01-19",240,20,"2011-01-17"
