"","data_date","ID","Payment","Payment.Date"
"3015","2013-01-28",189,34.45,"2012-12-03"
"3021","2013-01-28",200,50,"2013-01-08"
"3023","2013-01-28",202,40,"2012-12-11"
"3030","2013-01-28",212,25,""
"3035","2013-01-28",221,94.08,""
"3047","2013-01-28",237,25,"2012-12-03"
"3049","2013-01-28",240,44,"2013-01-08"
"3055","2013-01-28",249,30,"2012-12-11"
"3056","2013-01-28",123,12,"2012-12-03"
"3057","2013-01-28",151,10,"2013-01-23"
"3068","2013-01-28",149,10,""
"3075","2013-02-08",10,30,"2013-01-29"
"3080","2013-02-08",20,10,"2013-02-04"
"3084","2013-02-08",28,40,"2013-02-01"
"3088","2013-02-08",36,10,"2013-01-28"
"3091","2013-02-08",40,20,"2013-02-02"
"3115","2013-02-08",72,25,"2013-01-28"
"3128","2013-02-08",90,60,"2013-02-01"
"3146","2013-02-08",116,30,"2013-01-30"
"3148","2013-02-08",118,20,"2013-02-01"
"3175","2013-02-08",152,22,"2013-02-01"
"3182","2013-02-08",161,80,"2013-02-05"
"3215","2013-02-08",215,80,"2013-02-04"
"3258","2013-04-14",33,20,"2013/06/03"
"3269","2013-04-14",47,70,"2013/06/03"
"3274","2013-04-14",52,20,"2013/12/02"
"3317","2013-04-14",114,20,"2013/06/03"
"3332","2013-04-14",134,20,"2013/06/03"
"3335","2013-04-14",137,60,"2013/06/03"
"3362","2013-04-14",172,20,"2013-04-03"
"3391","2013-04-14",218,40,"2013/06/03"
"3392","2013-04-14",219,20,"2013/04/03"
"3401","2013-04-14",232,20,"2013/06/03"
"3409","2013-04-14",244,15,"2013/06/03"
"3414","2013-04-14",254,10,"2013/06/03"
"3425","2013-04-22",20,10,"2013-04-19"
"3429","2013-04-22",28,40,"2013-04-17"
"3438","2013-04-22",43,10,"2013-04-16"
"3441","2013-04-22",46,15,"2013-04-16"
"3449","2013-04-22",55,6.5,""
"3464","2013-04-22",77,20,"2013-04-22"
"3466","2013-04-22",79,30,"2013-04-17"
"3468","2013-04-22",84,20,"2013-04-16"
"3473","2013-04-22",89,25,"2013-04-16"
"3498","2013-04-22",125,5.29,"2013-04-19"
"3525","2013-04-22",157,5,"2013-04-16"
"3533","2013-04-22",169,15,"2013-04-17"
"3537","2013-04-22",175,20,"2013-04-16"
"3549","2013-04-22",199,40,"2013-04-17"
"3566","2013-04-22",221,44.72,"2013-04-19"
"3593","2013-06-04",11,10,"2013-04-23"
"3604","2013-06-04",34,20,"2013-05-07"
"3611","2013-06-04",44,15,"2013-04-25"
"3617","2013-06-04",50,10,"2013-04-23"
"3623","2013-06-04",58,23.75,"2013-04-25"
"3631","2013-06-04",69,54,"2013-04-23"
"3653","2013-06-04",103,43.25,"2013-05-01"
"3656","2013-06-04",108,20,"2013-05-10"
"3664","2013-06-04",119,25,"2013-04-29"
"3667","2013-06-04",125,15.28,"2013-06-04"
"3668","2013-06-04",127,20,"2013-04-23"
"3684","2013-06-04",146,10,"2013-04-26"
"3718","2013-06-04",199,10,"2013-04-25"
"3722","2013-06-04",203,60,"2013-04-29"
"3724","2013-06-04",208,20,"2013-04-23"
"3728","2013-06-04",212,20,"2013-05-16"
"3736","2013-06-04",221,8.98,"2013-06-04"
"3744","2013-06-04",233,60,"2013-05-07"
"3750","2013-06-04",240,20,"2013-04-30"
"3757","2013-06-04",80,18.9,"2013-04-30"
